frame,delay,model,name,conf
5,0.951697,n1t_f,david,8300.931721184972
6,0.947995,n1t_f,david,6425.547944811313
7,0.911074,n1t_f,david,6499.458119797326
8,0.888124,n1t_f,,
9,0.89078,n1t_f,,
10,0.889893,n1t_f,,
11,0.907037,n1t_f,david,7683.155182929742
12,0.891612,n1t_f,david,8409.74487432013
13,0.909811,n1t_f,robin,8080.950485290252
14,0.922795,n1t_f,robin,4821.874561836431
15,0.876445,n1t_f,robin,5129.731926025385
16,0.895742,n1t_f,,
17,0.899547,n1t_f,david,6775.765267197026
18,0.930928,n1t_f,david,5884.266316990414
19,0.907787,n1t_f,david,5497.369853672252
20,1.01326,n1t_f,david,5650.635518533597
21,1.057129,n1t_f,robin,5578.279838556744
22,0.889788,n1t_f,david,4564.003305132112
23,0.907395,n1t_f,,
24,0.904943,n1t_f,serena,7165.321339968466
24,0.904943,n1t_f,david,6203.904134409313
25,0.906788,n1t_f,,
26,0.892457,n1t_f,serena,8290.432222011395
27,0.942869,n1t_f,serena,7324.041124005184
28,0.913792,n1t_f,serena,6258.288730656543
29,0.909362,n1t_f,serena,7605.970092782862
30,0.924414,n1t_f,serena,7446.833033961908
31,0.888795,n1t_f,david,6591.442655824753
32,0.885613,n1t_f,,
33,0.889742,n1t_f,david,7942.06286280115
34,0.891322,n1t_f,david,7873.624801976016
35,0.919747,n1t_f,david,8679.67227830423
36,0.9248,n1t_f,david,6560.969147419603
37,0.891585,n1t_f,david,7371.796414821583
38,0.905779,n1t_f,david,7600.625523510532
0,1.079725,n2t_f,,
1,1.171267,n2t_f,,
2,1.174119,n2t_f,,
3,0.905395,n2t_f,,
4,0.956808,n2t_f,david,3223.952883991522
5,0.926049,n2t_f,serena,3434.5489651470098
6,0.954649,n2t_f,serena,3282.0129012407865
7,0.926144,n2t_f,david,3246.7890077034817
8,0.946805,n2t_f,david,2604.6248006025758
9,0.908031,n2t_f,,
10,0.928656,n2t_f,serena,6330.955540563455
11,0.918401,n2t_f,serena,5587.561694004808
12,0.921362,n2t_f,serena,4765.811079300269
13,0.907485,n2t_f,serena,4221.641585449583
14,0.939164,n2t_f,serena,3316.924219286099
15,0.9171,n2t_f,serena,3950.5716893674426
16,0.876401,n2t_f,,
17,0.882399,n2t_f,serena,7585.977969291644
18,0.892553,n2t_f,serena,5310.52751101819
19,0.92758,n2t_f,serena,5694.028238835694
20,0.895868,n2t_f,serena,5945.015664254857
21,0.924997,n2t_f,david,4306.055900313167
22,0.875891,n2t_f,,
23,0.923885,n2t_f,,
24,0.907881,n2t_f,serena,4067.5272344112373
25,0.906658,n2t_f,serena,4634.750494128994
26,0.874502,n2t_f,serena,5623.16737238462
27,0.887263,n2t_f,serena,5319.766909313764
28,0.90693,n2t_f,serena,4808.309407727999
29,0.895101,n2t_f,serena,3285.0408659611676
30,0.89925,n2t_f,david,1229.0107937429054
31,0.920491,n2t_f,serena,3677.215409204875
32,0.905721,n2t_f,serena,3668.6503200959946
33,0.908368,n2t_f,serena,4236.711283153033
34,0.981697,n2t_f,serena,4652.268136585728
35,0.937045,n2t_f,serena,4214.137851806636
36,0.916823,n2t_f,david,4594.5730946387675
0,0.987835,n5t_f,,
1,1.095871,n5t_f,,
2,1.425702,n5t_f,,
3,0.981429,n5t_f,serena,3853.966329435895
